	target	           Displacement	Horsepower Weight	Acceleration	Model Year	Cylinders_3	Cylinders_4	Cylinders_5	Cylinders_6	Cylinders_8	Origin_1	Origin_2	Origin_3
0	2.9444389791664403	307.0	130.0	3504.0	12.0	70	0	0	0	0	1	1	0	0
1	2.772588722239781	350.0	165.0	3693.0	11.5	70	0	0	0	0	1	1	0	0
2	2.9444389791664403	318.0	150.0	3436.0	11.0	70	0	0	0	0	1	1	0	0
3	2.833213344056216	304.0	150.0	3433.0	12.0	70	0	0	0	0	1	1	0	0
4	2.8903717578961645	302.0	140.0	3449.0	10.5	70	0	0	0	0	1	1	0	0
5	2.772588722239781	429.0	198.0	4341.0	10.0	70	0	0	0	0	1	1	0	0
6	2.70805020110221	454.0	220.0	4354.0	9.0	70	0	0	0	0	1	1	0	0
7	2.70805020110221	440.0	215.0	4312.0	8.5	70	0	0	0	0	1	1	0	0
8	2.70805020110221	455.0	225.0	4425.0	10.0	70	0	0	0	0	1	1	0	0
9	2.772588722239781	390.0	190.0	3850.0	8.5	70	0	0	0	0	1	1	0	0
10	2.772588722239781	383.0	170.0	3563.0	10.0	70	0	0	0	0	1	1	0	0
11	2.70805020110221	340.0	160.0	3609.0	8.0	70	0	0	0	0	1	1	0	0
12	2.772588722239781	400.0	150.0	3761.0	9.5	70	0	0	0	0	1	1	0	0
13	2.70805020110221	455.0	225.0	3086.0	10.0	70	0	0	0	0	1	1	0	0
14	3.2188758248682006	113.0	95.0	2372.0	15.0	70	0	1	0	0	0	0	0	1
15	3.1354942159291497	198.0	95.0	2833.0	15.5	70	0	0	0	1	0	1	0	0
16	2.9444389791664403	199.0	97.0	2774.0	15.5	70	0	0	0	1	0	1	0	0
17	3.091042453358316	200.0	85.0	2587.0	16.0	70	0	0	0	1	0	1	0	0
18	3.332204510175204	97.0	88.0	2130.0	14.5	70	0	1	0	0	0	0	0	1
19	3.295836866004329	97.0	46.0	1835.0	20.5	70	0	1	0	0	0	0	1	0
20	3.258096538021482	110.0	87.0	2672.0	17.5	70	0	1	0	0	0	0	1	0
21	3.2188758248682006	107.0	90.0	2430.0	14.5	70	0	1	0	0	0	0	1	0
22	3.258096538021482	104.0	95.0	2375.0	17.5	70	0	1	0	0	0	0	1	0
23	3.295836866004329	121.0	113.0	2234.0	12.5	70	0	1	0	0	0	0	1	0
24	3.091042453358316	199.0	90.0	2648.0	15.0	70	0	0	0	1	0	1	0	0
25	2.3978952727983707	360.0	215.0	4615.0	14.0	70	0	0	0	0	1	1	0	0
26	2.3978952727983707	307.0	200.0	4376.0	15.0	70	0	0	0	0	1	1	0	0
27	2.4849066497880004	318.0	210.0	4382.0	13.5	70	0	0	0	0	1	1	0	0
28	2.302585092994046	304.0	193.0	4732.0	18.5	70	0	0	0	0	1	1	0	0
29	3.332204510175204	97.0	88.0	2130.0	14.5	71	0	1	0	0	0	0	0	1
30	3.367295829986474	140.0	90.0	2264.0	15.5	71	0	1	0	0	0	1	0	0
31	3.258096538021482	113.0	95.0	2228.0	14.0	71	0	1	0	0	0	0	0	1
32	3.258096538021482	98.0	104.46938775510205	2046.0	19.0	71	0	1	0	0	0	1	0	0
33	2.995732273553991	232.0	100.0	2634.0	13.0	71	0	0	0	1	0	1	0	0
34	2.833213344056216	225.0	105.0	3439.0	15.5	71	0	0	0	1	0	1	0	0
35	2.8903717578961645	250.0	100.0	3329.0	15.5	71	0	0	0	1	0	1	0	0
36	2.995732273553991	250.0	88.0	3302.0	15.5	71	0	0	0	1	0	1	0	0
37	2.9444389791664403	232.0	100.0	3288.0	15.5	71	0	0	0	1	0	1	0	0
38	2.70805020110221	350.0	165.0	4209.0	12.0	71	0	0	0	0	1	1	0	0
39	2.70805020110221	400.0	175.0	4464.0	11.5	71	0	0	0	0	1	1	0	0
40	2.70805020110221	351.0	153.0	4154.0	13.5	71	0	0	0	0	1	1	0	0
41	2.70805020110221	318.0	150.0	4096.0	13.0	71	0	0	0	0	1	1	0	0
42	2.5649493574615367	383.0	180.0	4955.0	11.5	71	0	0	0	0	1	1	0	0
43	2.6390573296152584	400.0	170.0	4746.0	12.0	71	0	0	0	0	1	1	0	0
44	2.6390573296152584	400.0	175.0	5140.0	12.0	71	0	0	0	0	1	1	0	0
45	2.9444389791664403	258.0	110.0	2962.0	13.5	71	0	0	0	1	0	1	0	0
46	3.1354942159291497	140.0	72.0	2408.0	19.0	71	0	1	0	0	0	1	0	0
47	2.995732273553991	250.0	100.0	3282.0	15.0	71	0	0	0	1	0	1	0	0
48	2.9444389791664403	250.0	88.0	3139.0	14.5	71	0	0	0	1	0	1	0	0
49	3.1780538303479458	122.0	86.0	2220.0	14.0	71	0	1	0	0	0	1	0	0
50	3.367295829986474	116.0	90.0	2123.0	14.0	71	0	1	0	0	0	0	1	0
51	3.4339872044851463	79.0	70.0	2074.0	19.5	71	0	1	0	0	0	0	1	0
52	3.4339872044851463	88.0	76.0	2065.0	14.5	71	0	1	0	0	0	0	1	0
53	3.4657359027997265	71.0	65.0	1773.0	19.0	71	0	1	0	0	0	0	0	1
